,treated,age,educ,black,married,nodegree,re74,re75,re78,hisp,age2,age3,educ2,re742,re752
1,-1,42,16,0,1,0,0.0,0.0,100.485404968262,0,1764,74088,256,0.0,0.0
2,-1,20,13,0,0,0,2366.79418945312,3317.4677734375,4793.7451171875,0,400,8000,169,5601714.5,11005592.0
3,-1,37,12,0,1,0,25862.322265625,22781.85546875,25564.669921875,0,1369,50653,144,668859712.0,519012928.0
4,-1,48,12,0,1,0,21591.12109375,20839.35546875,20550.744140625,0,2304,110592,144,466176512.0,434278752.0
5,-1,51,12,0,1,0,21395.193359375,21575.177734375,22783.587890625,0,2601,132651,144,457754304.0,465488288.0
6,-1,18,11,0,0,1,1310.74951171875,1455.5322265625,2157.48071289062,0,324,5832,121,1718064.25,2118574.0
7,-1,52,15,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2704,140608,225,668859712.0,637236736.0
8,-1,39,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,1521,59319,256,668859712.0,637236736.0
9,-1,44,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,1936,85184,144,668859712.0,637236736.0
10,-1,51,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2601,132651,144,668859712.0,637236736.0
11,-1,53,12,0,1,0,25862.322265625,25243.548828125,25427.240234375,0,2809,148877,144,668859712.0,637236736.0
12,-1,55,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,3025,166375,144,668859712.0,637236736.0
13,-1,45,12,0,1,0,8987.1572265625,10666.7421875,8096.4638671875,0,2025,91125,144,80768992.0,113779392.0
14,-1,54,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2916,157464,144,668859712.0,637236736.0
15,-1,54,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2916,157464,144,668859712.0,637236736.0
16,-1,51,8,0,1,1,15973.90234375,12967.306640625,0.0,0,2601,132651,64,255165552.0,168151040.0
17,-1,16,10,0,0,1,881.670043945312,2391.87084960938,10747.505859375,0,256,4096,100,777342.0625,5721046.0
18,-1,17,10,0,0,1,466.305511474609,537.0968017578119,4306.09521484375,0,289,4913,100,217440.828125,288472.96875
19,-1,53,12,0,1,0,25862.322265625,4380.91943359375,25564.669921875,0,2809,148877,144,668859712.0,19192456.0
20,-1,53,12,0,1,0,10233.2509765625,11305.88671875,16150.07421875,0,2809,148877,144,104719424.0,127823072.0
21,-1,53,12,0,1,0,22884.236328125,24563.2265625,24081.033203125,0,2809,148877,144,523688288.0,603352128.0
22,-1,42,12,0,1,0,0.0,580.064514160156,0.0,0,1764,74088,144,0.0,336474.84375
23,-1,46,11,0,1,1,25862.322265625,25243.548828125,25564.669921875,0,2116,97336,121,668859712.0,637236736.0
24,-1,49,18,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2401,117649,324,668859712.0,637236736.0
25,-1,49,17,0,1,0,25780.033203125,25243.548828125,25564.669921875,0,2401,117649,289,664610112.0,637236736.0
26,-1,55,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,3025,166375,144,668859712.0,637236736.0
27,-1,55,10,0,1,1,25862.322265625,22060.35546875,1536.8356933593802,0,3025,166375,100,668859712.0,486659296.0
28,-1,49,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2401,117649,144,668859712.0,637236736.0
29,-1,49,12,0,1,0,23999.05859375,23564.2265625,25564.669921875,0,2401,117649,144,575954816.0,555272768.0
30,-1,41,12,0,1,0,17139.666015625,18447.484375,21143.3125,0,1681,68921,144,293768160.0,340309664.0
31,-1,52,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2704,140608,144,668859712.0,637236736.0
32,-1,52,12,0,1,0,21389.31640625,18300.677734375,15736.310546875,0,2704,140608,144,457502848.0,334914816.0
33,-1,44,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,1936,85184,256,668859712.0,637236736.0
34,-1,54,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2916,157464,144,668859712.0,637236736.0
35,-1,44,12,0,1,0,5999.27490234375,6146.17724609375,3877.55444335938,0,1936,85184,144,35991300.0,37775496.0
36,-1,51,12,0,1,0,25427.365234375,13549.1611328125,14803.865234375,0,2601,132651,144,646550912.0,183579760.0
37,-1,51,9,0,1,1,0.0,0.0,7385.67724609375,0,2601,132651,81,0.0,0.0
38,-1,51,8,0,1,1,0.0,0.0,0.0,0,2601,132651,64,0.0,0.0
39,-1,48,6,0,1,1,21553.89453125,19980.0,2813.59130859375,1,2304,110592,36,464570368.0,399200384.0
40,-1,47,12,0,1,0,0.0,5976.0966796875,4523.32080078125,0,2209,103823,144,0.0,35713732.0
41,-1,47,12,0,1,0,19716.1015625,25243.548828125,0.0,0,2209,103823,144,388724672.0,637236736.0
42,-1,47,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2209,103823,144,668859712.0,637236736.0
43,-1,43,12,0,1,0,23967.7109375,19331.90234375,25564.669921875,0,1849,79507,144,574451136.0,373722464.0
44,-1,53,16,0,1,0,22143.6328125,21457.015625,21929.462890625,0,2809,148877,256,490340480.0,460403520.0
45,-1,50,11,0,1,1,24823.91015625,20504.564453125,0.0,0,2500,125000,121,616226496.0,420437152.0
46,-1,53,12,0,1,0,25862.322265625,0.0,16463.3515625,0,2809,148877,144,668859712.0,0.0
47,-1,53,10,0,1,1,0.0,0.0,0.0,0,2809,148877,100,0.0,0.0
48,-1,50,12,0,1,0,14379.05859375,11663.951171875,8134.884765625,0,2500,125000,144,206757328.0,136047760.0
49,-1,46,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2116,97336,256,668859712.0,637236736.0
