,treated,age,educ,black,married,nodegree,re74,re75,re78,hisp,age2,age3,educ2,re742,re752
9079,-1,50,10,0,1,1,25862.322265625,25243.548828125,5550.3408203125,0,2500,125000,100,668859712.0,637236736.0
8211,-1,34,12,0,0,0,13906.8759765625,17776.11328125,16079.142578125,0,1156,39304,144,193401200.0,315990208.0
12950,-1,31,13,0,0,0,23965.751953125,25243.548828125,25564.669921875,0,961,29791,169,574357248.0,637236736.0
1372,-1,52,12,0,0,0,0.0,0.0,0.0,0,2704,140608,144,0.0,0.0
12313,-1,16,8,0,0,1,1643.82482910156,2148.38720703125,7769.88623046875,0,256,4096,64,2702160.0,4615567.5
6088,-1,28,16,0,1,0,5217.52734375,6178.4033203125,6979.302734375,0,784,21952,256,27222592.0,38172668.0
2089,-1,34,12,0,1,0,25499.857421875,19276.40234375,25564.669921875,0,1156,39304,144,650242752.0,371579680.0
3262,-1,55,10,0,1,1,18607.15625,18417.048828125,22795.41015625,1,3025,166375,100,346226272.0,339187680.0
12975,-1,37,10,0,1,1,13356.322265625,12591.3388671875,16679.099609375,1,1369,50653,100,178391344.0,158541808.0
3066,-1,21,12,0,0,0,1702.60290527344,358.064514160156,13602.47265625,0,441,9261,144,2898856.75,128210.1953125
6352,-1,28,12,0,1,0,15215.666015625,15153.2900390625,16207.705078125,0,784,21952,144,231516496.0,229622192.0
15197,-1,28,14,0,0,0,14204.6845703125,9041.12890625,25564.669921875,0,784,21952,196,201773056.0,81742008.0
8384,-1,24,16,0,1,0,17825.41015625,18434.951171875,21574.80859375,0,576,13824,256,317745248.0,339847424.0
277,-1,51,12,0,1,0,20376.375,22110.484375,23495.8515625,0,2601,132651,144,415196672.0,488873504.0
3854,-1,31,12,0,1,0,8953.849609375,10858.306640625,15578.193359375,0,961,29791,144,80171424.0,117902824.0
9021,-1,18,12,0,0,0,2004.32995605469,1376.7580566406198,2872.70043945312,0,324,5832,144,4017338.5,1895462.75
3163,-1,35,14,0,1,0,21199.267578125,20633.466796875,25564.669921875,0,1225,42875,196,449408960.0,425739968.0
319,-1,50,18,0,1,0,25862.322265625,25243.548828125,7573.3486328125,0,2500,125000,324,668859712.0,637236736.0
5816,-1,31,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,961,29791,144,668859712.0,637236736.0
710,-1,47,9,0,1,1,19978.64453125,19203.0,23970.203125,0,2209,103823,81,399146240.0,368755200.0
3558,-1,33,12,0,1,0,25284.337890625,24688.548828125,25564.669921875,0,1089,35937,144,639297728.0,609524416.0
11824,-1,29,13,0,0,0,16201.1767578125,14404.935546875,16405.720703125,0,841,24389,169,262478128.0,207502176.0
9992,-1,19,12,0,1,0,15617.3154296875,25243.548828125,25564.669921875,0,361,6859,144,243900544.0,637236736.0
14555,-1,19,9,0,0,1,6767.3076171875,2377.54833984375,21344.283203125,0,361,6859,81,45796452.0,5652736.0
9506,-1,40,12,1,1,0,18863.8203125,11397.193359375,18665.1640625,0,1600,64000,144,355843712.0,129896016.0
14353,-1,23,9,0,1,1,13916.671875,14723.61328125,16492.90625,0,529,12167,81,193673760.0,216784784.0
6636,-1,26,12,0,1,0,1422.427734375,556.790344238281,0.0,0,676,17576,144,2023300.625,310015.5
11512,-1,18,11,0,0,1,1984.7373046875,764.4677124023441,5641.9599609375,0,324,5832,121,3939182.25,584410.875
5493,-1,32,14,0,1,0,24134.248046875,22416.62890625,25564.669921875,0,1024,32768,196,582461952.0,502505248.0
6918,-1,19,12,0,0,0,321.31976318359403,159.338714599609,25564.669921875,0,361,6859,144,103246.390625,25388.826171875
12318,-1,50,6,1,1,1,11698.7822265625,7959.7744140625,10004.208984375,0,2500,125000,36,136861504.0,63358008.0
2797,-1,55,8,1,1,1,20921.05078125,25243.548828125,0.0,0,3025,166375,64,437690368.0,637236736.0
795,-1,53,8,0,1,1,17811.6953125,18041.080078125,4004.63891601562,0,2809,148877,64,317256480.0,325480576.0
9069,-1,18,8,0,0,1,1873.05908203125,2468.85473632812,0.0,0,324,5832,64,3508350.25,6095243.5
1285,-1,44,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,1936,85184,144,668859712.0,637236736.0
507,-1,40,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,1600,64000,144,668859712.0,637236736.0
14412,-1,40,11,0,0,1,1052.12622070312,1885.2097167968798,6176.89697265625,0,1600,64000,121,1106969.625,3554015.75
4391,-1,22,12,1,0,0,19261.552734375,12063.193359375,25564.669921875,0,484,10648,144,371007424.0,145520640.0
11546,-1,18,12,0,0,0,0.0,1663.2097167968802,21610.2734375,0,324,5832,144,0.0,2766266.5
12315,-1,41,6,0,0,1,4034.13037109375,0.0,0.0,0,1681,68921,36,16274208.0,0.0
10472,-1,29,14,0,1,0,12092.5947265625,14711.0810546875,16336.267578125,0,841,24389,196,146230848.0,216415904.0
7938,-1,16,10,0,0,1,13.714867591857901,0.0,8813.1611328125,0,256,4096,100,188.097595214844,0.0
9586,-1,35,18,0,1,0,17841.083984375,24640.208984375,93.09677124023442,1,1225,42875,324,318304288.0,607139904.0
11243,-1,23,9,0,1,1,5260.63134765625,7811.17724609375,14966.4150390625,0,529,12167,81,27674242.0,61014488.0
841,-1,42,12,0,1,0,18850.10546875,23311.791015625,21131.490234375,0,1764,74088,144,355326464.0,543439616.0
12316,-1,37,9,1,1,1,18709.0390625,18660.533203125,20596.552734375,0,1369,50653,81,350028128.0,348215488.0
1432,-1,38,12,0,1,0,22037.83203125,17983.791015625,22177.720703125,0,1444,54872,144,485666048.0,323416736.0
3298,-1,52,11,0,1,1,21387.35546875,17455.64453125,25564.669921875,0,2704,140608,121,457418976.0,304699520.0
