,treated,age,educ,black,married,nodegree,re74,re75,re78,hisp,age2,age3,educ2,re742,re752
12519,-1,40,16,0,0,0,0.0,0.0,0.0,0,1600,64000,256,0.0,0.0
13566,-1,25,16,0,0,0,22267.06640625,1917.43542480469,5396.6572265625,0,625,15625,256,495822240.0,3676558.5
9004,-1,18,11,0,0,1,76.4114074707031,499.5,0.0,0,324,5832,121,5838.703125,249500.25
1570,-1,53,12,0,1,0,21218.859375,25243.548828125,25564.669921875,0,2809,148877,144,450240000.0,637236736.0
15074,-1,19,11,0,0,1,540.757629394531,0.0,3406.15966796875,0,361,6859,121,292418.8125,0.0
3865,-1,31,12,0,1,0,17664.75,16852.306640625,25564.669921875,0,961,29791,144,312043392.0,284000224.0
6681,-1,25,12,0,1,0,18207.466796875,18483.291015625,11863.1884765625,0,625,15625,144,331511840.0,341632032.0
6302,-1,29,7,0,1,1,9149.7763671875,3408.77416992188,6086.755859375,0,841,24389,49,83718408.0,11619741.0
9658,-1,49,11,0,1,1,17964.517578125,18563.85546875,17548.00390625,1,2401,117649,121,322723904.0,344616736.0
8297,-1,24,17,0,1,0,3712.810546875,7979.4677734375,13238.9521484375,0,576,13824,289,13784962.0,63671904.0
14786,-1,38,12,1,1,0,18912.802734375,10346.2744140625,8121.58544921875,0,1444,54872,144,357694112.0,107045392.0
3568,-1,33,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,1089,35937,144,668859712.0,637236736.0
10026,-1,31,14,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,961,29791,196,668859712.0,637236736.0
15270,-1,25,13,0,0,0,12519.71484375,14322.5810546875,25564.669921875,0,625,15625,169,156743264.0,205136336.0
8161,-1,28,17,0,1,0,12539.3076171875,11051.6611328125,25564.669921875,0,784,21952,289,157234240.0,122139216.0
5748,-1,44,8,0,1,1,14708.2158203125,17194.2578125,22897.373046875,0,1936,85184,64,216331616.0,295642496.0
10266,-1,29,17,0,1,0,0.0,0.0,4369.6376953125,0,841,24389,289,0.0,0.0
8226,-1,29,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,841,24389,144,668859712.0,637236736.0
13149,-1,29,16,0,0,0,14145.90625,13463.2255859375,25564.669921875,0,841,24389,256,200106656.0,181258448.0
14138,-1,30,16,0,1,0,23552.345703125,20167.984375,25564.669921875,1,900,27000,256,554712960.0,406747584.0
11746,-1,21,15,0,0,0,1880.89611816406,1895.95166015625,12402.5595703125,0,441,9261,225,3537770.25,3594632.75
13507,-1,24,16,0,0,0,17108.318359375,15423.62890625,17265.7578125,0,576,13824,256,292694560.0,237888336.0
13801,-1,26,12,0,0,0,12588.2890625,12439.1611328125,12640.47265625,0,676,17576,144,158465024.0,154732736.0
8655,-1,47,11,0,1,1,12492.28515625,21883.11328125,24416.4765625,0,2209,103823,121,156057184.0,478870656.0
4854,-1,23,15,0,0,0,7217.93896484375,8713.5,17865.71484375,0,529,12167,225,52098644.0,75925080.0
3268,-1,41,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,1681,68921,144,668859712.0,637236736.0
10629,-1,28,15,0,1,0,10873.9306640625,11637.0966796875,12735.0478515625,0,784,21952,225,118242368.0,135422016.0
14461,-1,18,11,0,0,1,2259.03466796875,0.0,4817.388671875,0,324,5832,121,5103237.5,0.0
12201,-1,20,11,0,1,1,7215.9794921875,14200.8388671875,18145.00390625,0,400,8000,121,52070360.0,201663824.0
3052,-1,36,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,1296,46656,144,668859712.0,637236736.0
224,-1,54,15,0,1,0,4406.39111328125,6412.935546875,67.9754257202148,0,2916,157464,225,19416282.0,41125744.0
13205,-1,21,12,0,0,0,4134.052734375,4212.62890625,8628.4453125,0,441,9261,144,17090392.0,17746242.0
14017,-1,19,8,0,1,1,39.1853370666504,1136.85485839844,5327.2041015625,0,361,6859,64,1535.49060058594,1292439.0
4023,-1,29,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,841,24389,256,668859712.0,637236736.0
12523,-1,29,6,0,1,1,25862.322265625,21068.515625,20095.603515625,0,841,24389,36,668859712.0,443882336.0
14940,-1,34,6,0,0,1,12029.8984375,10917.38671875,6170.986328125,0,1156,39304,36,144718464.0,119189336.0
4019,-1,30,12,0,1,0,24089.185546875,25243.548828125,25564.669921875,0,900,27000,144,580288832.0,637236736.0
13575,-1,25,16,0,0,0,23971.62890625,21424.791015625,20779.791015625,0,625,15625,256,574638976.0,459021664.0
8649,-1,27,13,0,1,0,8652.1220703125,14136.38671875,5927.1611328125,0,729,19683,169,74859216.0,199837424.0
5287,-1,33,17,0,1,0,25862.322265625,25243.548828125,0.0,0,1089,35937,289,668859712.0,637236736.0
11083,-1,27,14,0,1,0,14792.46484375,14770.1611328125,20824.123046875,0,729,19683,196,218817024.0,218157664.0
14934,-1,17,10,0,0,1,0.0,0.0,14942.771484375,0,289,4913,100,0.0,0.0
4310,-1,26,12,0,1,0,11424.484375,9821.7099609375,25564.669921875,0,676,17576,144,130518840.0,96465984.0
2385,-1,54,6,0,1,1,20725.125,18644.419921875,24771.130859375,0,2916,157464,36,429530816.0,347614400.0
7199,-1,24,16,0,0,0,14770.912109375,16340.2744140625,0.0,0,576,13824,256,218179840.0,267004560.0
7257,-1,22,11,0,0,1,20125.587890625,19233.435546875,23445.609375,1,484,10648,121,405039296.0,369925056.0
15751,-1,28,14,1,0,0,18070.318359375,16342.064453125,799.450073242188,0,784,21952,196,326536416.0,267063072.0
5891,-1,54,6,0,1,1,1383.24230957031,5084.51611328125,2036.30725097656,1,2916,157464,36,1913359.25,25852304.0
2055,-1,45,12,0,1,0,25401.89453125,19614.7734375,21995.9609375,0,2025,91125,144,645256256.0,384739328.0
1728,-1,46,15,0,1,0,21655.775390625,22690.548828125,23816.51953125,0,2116,97336,225,468972608.0,514860992.0
2202,-1,51,18,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2601,132651,324,668859712.0,637236736.0
2460,-1,39,12,0,1,0,20854.435546875,19618.35546875,21907.296875,0,1521,59319,144,434907488.0,384879872.0
5429,-1,32,18,0,1,0,5785.71484375,8427.048828125,12508.955078125,0,1024,32768,324,33474496.0,71015152.0
8725,-1,27,12,0,1,0,15133.376953125,17733.14453125,25564.669921875,0,729,19683,144,229019104.0,314464416.0
9835,-1,40,9,0,1,1,20682.01953125,19980.0,19989.20703125,0,1600,64000,81,427745920.0,399200384.0
15586,-1,39,7,0,0,1,23091.91796875,18255.919921875,22078.712890625,1,1521,59319,49,533236672.0,333278624.0
1192,-1,48,12,0,1,0,22374.826171875,23487.2421875,24450.46484375,0,2304,110592,144,500632832.0,551650560.0
5922,-1,16,10,0,0,1,0.0,2028.43542480469,16420.498046875,0,256,4096,100,0.0,4114550.25
4167,-1,38,12,0,1,0,25358.791015625,25243.548828125,18997.65234375,0,1444,54872,144,643068288.0,637236736.0
8028,-1,30,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,900,27000,144,668859712.0,637236736.0
5506,-1,48,12,0,1,0,0.0,0.0,1491.0261230468802,0,2304,110592,144,0.0,0.0
