,treated,age,educ,black,married,nodegree,re74,re75,re78,hisp,age2,age3,educ2,re742,re752
1,1,33,12,0,1,0,0.0,0.0,12418.0703125,0,1089,35937,144,0.0,0.0
2,1,20,12,0,1,0,8644.15625,8644.15625,11656.505859375,0,400,8000,144,74721440.0,74721440.0
3,0,39,12,1,1,0,19785.3203125,6608.13720703125,499.257202148438,0,1521,59319,144,391458912.0,43667476.0
4,1,49,8,0,1,1,9714.5966796875,7285.94775390625,16717.12109375,0,2401,117649,64,94373392.0,53085036.0
5,0,26,8,0,1,1,37211.7578125,36941.265625,30247.5,0,676,17576,64,1384714880.0,1364657152.0
6,0,38,10,1,1,1,14759.0634765625,14701.947265625,4393.52294921875,0,1444,54872,100,217829952.0,216147248.0
7,0,28,12,0,0,0,0.0,803.343017578125,16477.01953125,0,784,21952,144,0.0,645360.0
8,0,27,12,1,1,0,0.0,752.3900756835941,0.0,0,729,19683,144,0.0,566090.8125
9,1,33,12,1,1,0,20279.94921875,10941.349609375,15952.599609375,0,1089,35937,144,411276352.0,119713128.0
10,0,44,9,1,1,1,12260.7802734375,10857.240234375,12359.3095703125,0,1936,85184,81,150326736.0,117879664.0
11,0,28,10,0,1,1,5440.818359375,6346.19287109375,6793.0771484375,0,784,21952,100,29602504.0,40274164.0
12,0,31,12,0,0,0,0.0,494.643005371094,0.0,0,961,29791,144,0.0,244671.703125
13,0,24,12,0,1,0,28262.130859375,24294.74609375,665.7374267578119,0,576,13824,144,798748032.0,590234688.0
14,0,29,12,0,0,0,12116.611328125,12205.142578125,16328.9638671875,0,841,24389,144,146812272.0,148965504.0
15,0,20,11,0,1,1,7254.419921875,8159.5068359375,6336.78271484375,0,400,8000,121,52626608.0,66577552.0
16,0,22,10,0,1,1,25720.919921875,23031.98046875,5448.80078125,0,484,10648,100,661565696.0,530472128.0
17,1,35,9,1,1,1,13602.4296875,13830.6396484375,12803.9697265625,0,1225,42875,81,185026096.0,191286592.0
18,1,42,9,1,1,1,0.0,3058.53100585938,1294.40905761719,0,1764,74088,81,0.0,9354612.0
19,1,21,13,0,0,0,9978.7509765625,8616.8525390625,99.5700149536133,0,441,9261,169,99575472.0,74250144.0
20,1,23,12,0,0,0,5204.259765625,3903.19482421875,796.559692382812,0,529,12167,144,27084320.0,15234930.0
21,0,18,12,0,0,0,735.205078125,735.205078125,2502.52587890625,0,324,5832,144,540526.5,540526.5
22,1,22,12,0,0,0,6759.994140625,8455.50390625,12590.7099609375,0,484,10648,144,45697520.0,71495544.0
23,0,20,12,0,0,0,4139.75341796875,3104.81518554688,12573.9658203125,0,400,8000,144,17137558.0,9639877.0
24,0,22,12,1,1,0,9420.671875,9352.19921875,8072.181640625,0,484,10648,144,88749056.0,87463632.0
25,0,35,11,1,1,1,7096.7158203125,8720.9052734375,0.0,0,1225,42875,121,50363376.0,76054192.0
26,1,27,13,0,1,0,9381.56640625,853.7224731445309,0.0,0,729,19683,169,88013792.0,728842.0625
27,0,41,12,1,0,0,10707.1611328125,9818.466796875,0.0,0,1681,68921,144,114643296.0,96402288.0
28,0,30,11,1,1,1,0.0,9311.9384765625,3982.80102539062,0,900,27000,121,0.0,86712200.0
29,1,22,12,0,1,0,492.23049926757795,7055.7021484375,10092.830078125,1,484,10648,144,242290.859375,49782932.0
30,1,27,12,1,1,0,10408.515625,7806.38671875,2777.58520507812,0,729,19683,144,108337200.0,60939672.0
31,1,42,14,1,1,0,0.0,0.0,13167.51953125,0,1764,74088,196,0.0,0.0
32,0,27,10,1,1,1,13542.26953125,11280.7109375,0.0,0,729,19683,100,183393072.0,127254440.0
33,1,41,14,0,0,0,0.0,0.0,5149.5009765625,0,1681,68921,196,0.0,0.0
34,0,50,8,1,1,1,7506.73388671875,5630.05029296875,8997.193359375,0,2500,125000,64,56351052.0,31697466.0
35,1,26,10,1,1,1,9773.953125,8141.703125,4635.66015625,0,676,17576,100,95530160.0,66287328.0
36,0,25,10,1,1,1,12428.1220703125,11696.3720703125,11127.2802734375,0,625,15625,100,154458224.0,136805120.0
37,1,35,8,1,1,1,13732.0703125,17976.150390625,3786.6279296875,0,1225,42875,64,188569760.0,323141984.0
38,0,25,9,1,1,1,24731.619140625,16946.630859375,7343.9638671875,0,625,15625,81,611652992.0,287188288.0
39,1,33,11,1,1,1,14660.7099609375,25142.240234375,4181.94189453125,0,1089,35937,121,214936416.0,632132224.0
40,0,28,12,1,1,0,0.0,0.0,0.0,0,784,21952,144,0.0,0.0
41,0,27,11,1,1,1,20249.224609375,20035.255859375,9074.763671875,0,729,19683,121,410031104.0,401411488.0
42,1,46,8,1,1,1,0.0,0.0,3094.15600585938,0,2116,97336,64,0.0,0.0
43,0,30,14,1,1,0,0.0,0.0,7344.67822265625,0,900,27000,196,0.0,0.0
44,1,19,10,0,0,1,0.0,5324.10888671875,13829.6201171875,0,361,6859,100,0.0,28346136.0
45,0,34,13,1,1,0,0.0,0.0,5193.2470703125,0,1156,39304,169,0.0,0.0
46,1,26,11,0,0,1,0.0,2226.26611328125,13385.8603515625,0,676,17576,121,0.0,4956261.0
47,0,30,11,1,1,1,24286.5078125,24105.38671875,7263.02490234375,0,900,27000,121,589834432.0,581069696.0
48,0,36,12,1,0,0,0.0,142.39729309082,0.0,0,1296,46656,144,0.0,20276.98828125
49,1,45,5,1,1,1,0.0,0.0,8546.71484375,0,2025,91125,25,0.0,0.0
50,1,23,10,1,1,1,0.0,936.438598632812,11233.259765625,0,529,12167,100,0.0,876917.25
51,0,39,12,1,1,0,0.0,0.0,3795.79907226562,0,1521,59319,144,0.0,0.0
52,0,23,9,1,1,1,19047.07421875,19289.8515625,7600.1044921875,0,529,12167,81,362791040.0,372098368.0
53,0,27,11,1,1,1,0.0,4491.8837890625,0.0,0,729,19683,121,0.0,20177020.0
54,1,38,12,0,0,0,0.0,0.0,4941.84912109375,0,1444,54872,144,0.0,0.0
55,0,24,11,0,0,1,2669.72509765625,1468.3830566406198,10361.6904296875,0,576,13824,121,7127432.0,2156148.75
56,1,26,11,1,1,1,0.0,1392.85302734375,1460.35998535156,0,676,17576,121,0.0,1940039.5
57,1,29,14,1,0,0,0.0,679.673400878906,17814.98046875,0,841,24389,196,0.0,461955.9375
58,1,27,11,1,1,1,2336.11401367188,2142.21655273438,2186.18920898438,0,729,19683,121,5457428.5,4589092.0
59,0,55,3,1,0,1,0.0,0.0,5843.7958984375,0,3025,166375,9,0.0,0.0
60,0,20,11,0,0,1,1413.1066894531198,1177.11791992188,8743.0703125,0,400,8000,121,1996870.5,1385606.625
61,0,54,11,1,0,1,0.0,0.0,7812.52197265625,0,2916,157464,121,0.0,0.0
62,0,36,12,0,0,0,13661.177734375,11491.9521484375,4978.50048828125,1,1296,46656,144,186627776.0,132064968.0
63,0,23,10,1,1,1,0.0,0.0,0.0,0,529,12167,100,0.0,0.0
64,0,28,11,0,0,1,2787.76123046875,3200.91186523438,7645.0546875,0,784,21952,121,7771612.5,10245837.0
